StageTitle,"Resolving Merge Conflicts"
Story Background/Content/Story,"You are a student.
Recently, in the 'Mobile Application Development' course,
the teacher required students to pair up in groups of two to co-create a simple mobile application.

You and your teammate decided to develop a game called "Guess the Number".
After some time, the basic features of the game have been completed.

However, you noticed that the layout design of the game is not appealing enough.
To improve the game screen, you and your teammate decided to each design your own mobile interface,
and then discuss which design elements will ultimately be adopted.

Your teammate is designing their mobile layout on the 'member-style-design' branch,
while you are preparing to create a new branch to design your own mobile layout.

Now, please modify the mobile components on your own branch,
and finally merge the completed content back into the main branch."
Stage Quest/1,"Open the 'Commit History' window"
Stage Quest/2,"Create a new branch on the 'master' branch and update the 'Commit History' window"
Stage Quest/3,"Modify the mobile app styles on the 'your-style-design' branch"
Stage Quest/4,"Create a new commit and update the 'Commit History' window"
Stage Quest/5,"Merge the 'member-style-design' branch back into the main branch and update the 'Commit History' window"
Stage Quest/6,"Merge the 'your-style-design' branch back into the main branch"
Stage Quest/7,"Resolve conflicts in the 'activity_main.xml' file"
Stage Quest/8,"Create a new commit and update the 'Commit History' window"
Stage Quest/9,"Delete all branches that have completed merging and update the 'Commit History' window"
AutoMergeData/Quest 8/ListContent/0,"Please enter 4 digits:\n<<<<<<< HEAD\nDigit Input Field (Designed by Classmate A)<color=#FFE6C6>=</color>\nGuess Button (Designed by Classmate A)\n=======\nDigit Input Field (Your Design)\nGuess Button (Your Design)<color=#FFE6C6>=</color>\n>>>>>>> your-style-design\nExecution Result: 0A, 0B"
CommitHistoryData/File data/ListFileName/0,"Guess_Number_Project"
CommitHistoryData/File data/ListLocation/0,"Guess_Number_Project"
CommitHistoryData/File data/ListContent/1,"Please enter 4 digits:\nDigit Input Field\nGuess Button\nExecution Result: 0A, 0B"
CommitHistoryData/File data/ListContent/NPC,"Please enter 4 digits:\nDigit Input Field (Designed by Classmate A)\nGuess Button (Designed by Classmate A)\nExecution Result: 0A, 0B"
CommitHistoryData/File data/ListContent/2,"Button Click Event\nRandom Number Generation\nGet Player Input\nCompare Answers Feature"
CommitHistoryData/File data/ListContent/1(fix),"Please enter 4 digits:\nDigit Input Field <color=#CF001C>(to be modified)</color><color=#FFE6C6>Flag1</color>\mDigit Input Field (Your Design)\nGuess Button <color=#CF001C>(to be modified)</color><color=#FFE6C6>Flag2</color>\mGuess Button (Your Design)\nExecution Result: 0A, 0B"
CommitHistoryData/File data/ListFileName/1,"activity_main.xml"
CommitHistoryData/File data/ListFileName/2,"Main_Activity.java"
CommitHistoryData/File data/ListLocation/1,"Guess_Number_Project\activity_main.xml"
CommitHistoryData/File data/ListLocation/2,"Guess_Number_Project\Main_Activity.java"
CommitHistoryData/File data/ListLocation/3,"Guess_Number_Project\.git"
CommitHistoryData/CommitMessage/1,"Initialize mobile application project"
CommitHistoryData/CommitMessage/2,"Basic game logic design completed"
CommitHistoryData/CommitMessage/3,"Basic mobile layout design completed"
CommitHistoryData/CommitMessage/4,"Branch ""ui-design"" has been merged into branch ""master"""
CommitHistoryData/CommitMessage/5,"Classmate A mobile interface style design completed"
Quest Filter/Valider/Target File Name/0,"activity_main.xml"
Quest Filter/Valider/Target File Name/1,"Guess_Number_Project\activity_main.xml"
Quest Valider/Valider/0,"activity_main.xml"
DefaultData/BranchName data/branchNameList/0,"your-style-design"
DefaultData/BranchName data/branchNameList/1,"style-design"
DefaultData/BranchName data/branchNameList/2,"new-branch"
DefaultData/BranchName data/branchNameReasonList/0,"Branch Naming Analysis:
Appropriate: Uses lowercase letters and differentiates words using the '-' symbol."
DefaultData/BranchName data/branchNameReasonList/1,"Branch Naming Analysis:
Appropriate: Uses lowercase letters and differentiates words using the '-' symbol.
Inappropriate: Since you are developing co-operatively with a team, you should add keywords like your name to improve identification."
DefaultData/BranchName data/branchNameReasonList/2,"Branch Naming Analysis:
Appropriate: Uses lowercase letters and differentiates words using the '-' symbol.
Inappropriate: Fails to indicate the purpose of creating the branch."
DefaultData/Commit data/commitMessageList/0,"Modify mobile main interface file"
DefaultData/Commit data/commitMessageList/1,"Main interface design improvement: buttons and input fields"
DefaultData/Commit data/commitMessageList/2,"Change game interface"
DefaultData/Commit data/commitMessageReasonList/0,"Commit Message Analysis:
Although it mentions the target file modified, it fails to specify the modified content."
DefaultData/Commit data/commitMessageReasonList/1,"Commit Message Analysis:
Clearly specifies the modification target and details."
DefaultData/Commit data/commitMessageReasonList/2,"Commit Message Analysis:
Mentions that the game interface was changed, but lacks detailed information."
DefaultData/Commit data/commitMessageList/4,"Resolve merge conflict between 'master' and 'your-style-design' branches"
DefaultData/Commit data/commitMessageList/5,"Resolve conflicts"
DefaultData/Commit data/commitMessageList/6,"Merge two branches"
DefaultData/Commit data/commitMessageReasonList/4,"Commit Message Analysis:
Clearly specifies the two branches whose conflict was resolved."
DefaultData/Commit data/commitMessageReasonList/5,"Commit Message Analysis:
Although it notes that a conflict was resolved, more details should be added."
DefaultData/Commit data/commitMessageReasonList/6,"Commit Message Analysis:
The commit message is not specific enough; 
the names of the two target branches being merged can be added."
NPCCommitData/NPC1,"Classmate A"
