StageTitle,"Resolving Merge Conflicts"
Story Background/Content/Story,"You are a student, and you are taking the 'Web Programming' course.
Recently, you learned how to write code to add interaction to the web pages.

After the course, you decide to create a simple web game to review the content you learned in class.
In this game, players can click the 'add score' button to earn points,
and click the 'reset score' button to set points to zero.

To maintain a good development environment for the project, 
you decide to manage the web project with Git.

You created two branches according to the functionality 
and completed the development of these features.

Now, please try to merge the two developed branches into the main branch."
Stage Quest/1,"Open the 'Commit History' window."
Stage Quest/2,"Merge the 'add-score-feature' branch.
Then update the 'Commit History' window."
Stage Quest/3,"Merge the 'reset-score-feature' branch.
Then update the 'Commit History' window."
Stage Quest/4,"Open the 'Game_Program.js' file."
Stage Quest/5,"Resolve conflicts in the 'Game_Program.js' file."
Stage Quest/6,"Resolve conflicts in the 'Game_Webpage.html' file."
Stage Quest/7,"Create a new commit.
Then update the 'Commit History' window."
DefaultData/Commit data/commitMessageList/0,"Resolve merge conflict between 'master' and 'reset-score-feature' branches."
DefaultData/Commit data/commitMessageList/1,"Resolve conflicts."
DefaultData/Commit data/commitMessageList/2,"Merge two branches."
DefaultData/Commit data/commitMessageReasonList/0,"Commit message analysis:
This commit message is clear and meaningful.
It shows that the developer resolved the merge conflict between which two branches."
DefaultData/Commit data/commitMessageReasonList/1,"Commit message analysis:
Although this commit message mentions resolving conflicts, 
it does not provide details related to conflict resolution."
DefaultData/Commit data/commitMessageReasonList/2,"Commit message analysis:
Although this message mentions merging branches
it does not provide information about file conflicts."
AutoMergeData/Quest 3/ListContent/0,"Webpage basic framework\n<<<<<<< HEAD\nAdd score button\n=======\nReset score button\n>>>>>>> reset-score-feature"
AutoMergeData/Quest 3/ListContent/1,"Set initial score to 0\n<<<<<<< HEAD\nAdd scoring feature\n=======\nReset scoring feature\n>>>>>>> reset-score-feature"
CommitHistoryData/File data/ListFileName/0,"Game_Webpage.html"
CommitHistoryData/File data/ListFileName/1,"Game_Program.js"
CommitHistoryData/File data/ListLocation/0,"Game_Webpage.html"
CommitHistoryData/File data/ListLocation/1,"Game_Program.js"
CommitHistoryData/File data/ListContent/0,"Webpage basic framework"
CommitHistoryData/File data/ListContent/0/add,"Webpage basic framework\nAdd score button"
CommitHistoryData/File data/ListContent/0/reset,"Webpage basic framework\nReset score button"
CommitHistoryData/File data/ListContent/1,"Set initial score to 0"
CommitHistoryData/File data/ListContent/1/add,"Set initial score to 0\nAdd scoring feature"
CommitHistoryData/File data/ListContent/1/reset,"Set initial score to 0\nReset scoring feature"
CommitHistoryData/CommitMessage/1,"Initialize project - Click Button Game."
CommitHistoryData/CommitMessage/2,"Add 'Add Score' button and feature."
CommitHistoryData/CommitMessage/3,"Add 'reset Score' button and feature."
Quest Filter/Valider/Target File Name/0,"Game_Program.js"
Quest Filter/Valider/Target File Name/1,"Game_Webpage.html"
Quest Valider/Valider/0,"Game_Program.js"
Quest Valider/Valider/1,"Game_Webpage.html"
