StageTitle,"Git Branching Basics Tutorial"
Story Background/Content/Story,"You are a newly joined member of a game development team.
The team is currently developing a puzzle game that contains multiple levels.

As your first task, you are asked to design new content on top of a level template.
This will help you understand how team members design the game.
To follow proper development principles,
developers should implement features on their own branches.

Try to create a new branch and start designing a new level!"
Stage Quest/1,"Open the 'Commit History' window"
Stage Quest/2,"Create a branch on the latest commit"
Stage Quest/3,"Verify the status of the 'Commit History' window"
Stage Quest/4,"View all branches in the local repository"
Stage Quest/5,"Switch to the newly created branch
and update the 'Commit History' window"
Stage Quest/6,"Design a test level on the new branch"
Stage Quest/7,"Create a new commit
and update the 'Commit History' window"
Stage Quest/8,"Switch to the 'master' branch
and update the 'Commit History' window"
Stage Quest/9,"Delete the newly created branch
and update the 'Commit History' window"
CommitHistoryData/File data/ListFileName/0,"Game_Project"
CommitHistoryData/File data/ListLocation/0,"Game_Project"
CommitHistoryData/File data/ListContent/1,"Game Title\nLevel Selection\nLoad Level\nGame Controls"
CommitHistoryData/File data/ListLocation/1,"Game_Project\Main_Game.c"
CommitHistoryData/File data/ListFileName/1,"Main_Game.c"
CommitHistoryData/File data/ListFileName/2,"Game_Scenes"
CommitHistoryData/File data/ListContent/2,"Game_Project\Game_Scenes"
CommitHistoryData/File data/ListLocation/2,"Game_Project\Game_Scenes"
CommitHistoryData/File data/ListContent/3,"Level Name: Tutorial\nLevel Objective\nLevel Design"
CommitHistoryData/File data/ListFileName/3,"Level_1-1.scene"
CommitHistoryData/File data/ListLocation/3,"Game_Project\Game_Scenes\Level_1-1.scene"
CommitHistoryData/File data/ListContent/4,"Level Name: New Challenge\nLevel Objective\nLevel Design"
CommitHistoryData/File data/ListFileName/4,"Level_1-2.scene"
CommitHistoryData/File data/ListLocation/4,"Game_Project\Game_Scenes\Level_1-2.scene"
CommitHistoryData/File data/ListContent/5,"Level Name: Teammate Joins\nLevel Objective\nLevel Design"
CommitHistoryData/File data/ListFileName/5,"Level_1-3.scene"
CommitHistoryData/File data/ListLocation/5,"Game_Project\Game_Scenes\Level_1-3.scene"
CommitHistoryData/File data/ListContent/6,"Level Name\nLevel Objective\aYour Level Design"
CommitHistoryData/File data/ListFileName/6,"Test_Level.scene"
CommitHistoryData/File data/ListLocation/6,"Game_Project\Game_Scenes\Test_Level.scene"
CommitHistoryData/File data/ListLocation/7,"Game_Project\.git"
CommitHistoryData/CommitMessage/1,"Initialize puzzle game project"
CommitHistoryData/CommitMessage/2,"Level 1-1 design completed"
CommitHistoryData/CommitMessage/3,"Level 1-2 design completed"
CommitHistoryData/CommitMessage/4,"Level 1-3 design completed"
Quest Tracker/StagingStatusData/ListLocation/0,"Course_Folder\Git_Learning_Diary.txt"
Quest Filter/Valider/Target File Name/0,"Test_Level.scene"
Quest Filter/Valider/Target File Name/0,"Test_Level.scene"
DefaultData/Commit data/commitMessageList/0,"New game scene - test level"
DefaultData/Commit data/commitMessageList/1,"create a new commit"
DefaultData/Commit data/commitMessageList/2,"Add game content"
DefaultData/Commit data/commitMessageReasonList/0,"Commit Message Analysis:
Clearly specifies that this commit created a new game scene."
DefaultData/Commit data/commitMessageReasonList/1,"Commit Message Analysis:
The commit message is too simple."
DefaultData/Commit data/commitMessageReasonList/2,"Commit Message Analysis:
Fails to provide details regarding the added content."
DefaultData/BranchName data/branchNameList/0,"new-test-level"
DefaultData/BranchName data/branchNameList/1,"level"
DefaultData/BranchName data/branchNameList/2,"NewLevel"
DefaultData/BranchName data/branchNameReasonList/0,"Branch Naming Analysis:
Appropriate: Uses lowercase letters and differentiates words using the '-' symbol."
DefaultData/BranchName data/branchNameReasonList/1,"Branch Naming Analysis:
Appropriate: Uses lowercase letters.
Inappropriate: Too generic; might cause confusion for other developers."
DefaultData/BranchName data/branchNameReasonList/2,"Branch Naming Analysis:
Inappropriate: Uses uppercase letters in some parts."
NPCCommitData/NPC1,"Colleague A"
NPCCommitData/NPC2,"Colleague B"
NPCCommitData/NPC3,"Colleague C"
