StageTitle,"Game Introduction"
Story Background/Content/Story,"You are a student.
In the 'Project Management' course, the teacher introduced 
the concepts of version control and Git during class.

After class, the teacher assigned a project.
Students are required to introduce and compare two management approaches: 
'backing up files' and 'version control'.

Now, please try to complete the presentation content."
Stage Quest/1,"Open the 'File Manager' window"
Stage Quest/2,"Back up the file 'Assignment_Report_v1.docx'"
Stage Quest/3,"Rename the backed-up file"
Stage Quest/4,"Add content to the file"
Stage Quest/5,"Back up the file 'Assignment_Report_v2.docx'"
Stage Quest/6,"Rename the backed-up file"
Stage Quest/7,"Modify the content of the latest file version"
DefaultData/File data/ListContent/1,"Project Topic: Ways to Manage Projects\nIntroducing File Backup\nIntroducing What Git Is\nComparing Their Differences with a Table\aSummary: Backing up files is better suited for project management <color=#CF001C>(to be modified)</color>\mSummary: Version control is better suited for project management (modified)"
DefaultData/File data/ListFileName/1,"Assignment_Report_v1.docx"
DefaultData/File data/ListLocation/1,"Assignment_Report_v1.docx"
Quest Filter/Valider/Target File Name/v2,"Assignment_Report_v2.docx"
Quest Filter/Valider/Target File Name/v3,"Assignment_Report_v3.docx"
