StageTitle,"Switching Project Versions"
Story Background/Content/Story,"You are an excellent QA (Software Test Engineer).
Recently, your colleague developed a BMI calculator.
However, you discovered that the latest version of the program crashes during runtime.

You believe this bug might originate from the code written earlier,
and switching back to older versions will speed up your investigation into the root cause.

Your task is to use Git to track down the exact moment this error occurred.
Once you find the bug, note down the line number,
and return to the latest version to fix it."
Stage Quest/1,"Verify the content of 'BMI_Calculator.c"
Stage Quest/2,"Switch to the 2nd committed version
and update the 'Commit History' window"
Stage Quest/3,"Verify the content of 'BMI_Calculator.c"
Stage Quest/4,"Switch to the 3rd committed version
and update the 'Commit History' window"
Stage Quest/5,"Verify the content of 'BMI_Calculator.c"
Stage Quest/6,"Switch to the 'master' branch
and update the 'Commit History' window"
Stage Quest/7,"Fix the bug in the code content"
CommitHistoryData/File data/ListContent/0,"BMI Calculator Main Program"
CommitHistoryData/File data/ListContent/1,"BMI Calculator Main Program\nInput Detection Code <color=#173D91>(No Problems!)</color>"
CommitHistoryData/File data/ListContent/2,"BMI Calculator Main Program\nInput Detection Code\nBMI Calculation Code <color=#CF001C>(Error!)</color>"
CommitHistoryData/File data/ListContent/3,"BMI Calculator Main Program\nInput Detection Code\nBMI Calculation Code <color=#FFE6C6>(to be modified)</color>\mCorrect BMI Calculation Code (modified)\nDisplay BMI Results Code <color=#173D91>(No Problems!)</color>"
CommitHistoryData/File data/ListFileName/0,"BMI_Calculator.c"
CommitHistoryData/File data/ListLocation/0,"BMI_Calculator.c"
Quest Filter/Valider/Target File Name/1,"BMI_Calculator.c"
Quest Valider/Valider/0,"BMI_Calculator.c"
CommitHistoryData/CommitMessage/1,"Initialize BMI Calculator"
CommitHistoryData/CommitMessage/2,"Write 'Input Detection Code'"
CommitHistoryData/CommitMessage/3,"Write 'BMI Calculation Code'"
CommitHistoryData/CommitMessage/4,"Write 'Display BMI Results Code'"
NPCCommitData/NPC1,"Colleague A"
