StageTitle,"Switching Project Versions"
Story Background/Content/Story,"You are a student.
Recently, you have been designing the content for a website.

However, you found that it’s difficult to decide what color should apply to the web page text.
And you have already created two commits with different text colors.

Is it possible to confirm which color is more suitable 
without directly modifying it, using Git commands instead?"
Stage Quest/1,"Open the 'Commit History' window."
Stage Quest/2,"Open the 'File Manager' window."
Stage Quest/3,"Verify the content of 'Web_Stylesheet.css'."
Stage Quest/4,"Switch to the second commit version."
Stage Quest/5,"Check the status of the 'Commit History' window."
Stage Quest/6,"Verify the content of 'Web_Stylesheet.css'."
Stage Quest/7,"Switch to the third commit version.
Then update the 'Commit History' window."
Stage Quest/8,"Switch to the 'master' branch.
Then update the 'Commit History' window."
CommitHistoryData/File data/ListContent/0,"Webpage Title\nWebpage Content\nWebpage Footer"
CommitHistoryData/File data/ListContent/1/v1,"orange text"
CommitHistoryData/File data/ListContent/1/v2,"blue text"
CommitHistoryData/File data/ListFileName/0,"My_Homepage.html"
CommitHistoryData/File data/ListFileName/1,"Web_Stylesheet.css"
CommitHistoryData/File data/ListLocation/0,"My_Homepage.html"
CommitHistoryData/File data/ListLocation/1,"Web_Stylesheet.css"
CommitHistoryData/CommitMessage/1,"Added homepage file for the website."
CommitHistoryData/CommitMessage/2,"Added webpage style: set text color to orange."
CommitHistoryData/CommitMessage/3,"Added webpage style: set text color to blue."
Quest Valider/Valider/0,"Web_Stylesheet.css"
