StageTitle,"Auto Merging"
Story Background/Content/Story,"You are a web designer, and you are building your website recently.
To manage the website more effectively, you decide to use Git to manage the project.

You distribute tasks to multiple branches according to their type and purpose.
In the end, you will merge the developed branches into the main branch.

Now, please continue to develop the web content 
and merge the completed features into the main branch."
Stage Quest/1,"Open the 'Commit History' window."
Stage Quest/2,"Create and Switch to the newly created branch.
Then update the 'Commit History' window."
Stage Quest/3,"Add a new feature on the 'new-article' branch."
Stage Quest/4,"Create a new commit.
Then update the 'Commit History' window."
Stage Quest/5,"Switch to 'master' branch.
Then update the 'Commit History' window."
Stage Quest/6,"Merge the 'new-design' branch.
Then update the 'Commit History' window."
Stage Quest/7,"Merge the 'new-article' branch.
Then update the 'Commit History' window."
Stage Quest/8,"Delete the 'new-design', and the 'new-article' branch.
Then update the 'Commit History' window."
DefaultData/Commit data/commitMessageList/0,"Add Article: Three Merging Modes in Git"
DefaultData/Commit data/commitMessageList/1,"Add articles in webpage."
DefaultData/Commit data/commitMessageList/2,"Update Webpage."
DefaultData/Commit data/commitMessageReasonList/0,"Commit message analysis:
This message is clear and specific.
It tells people what articles have been added."
DefaultData/Commit data/commitMessageReasonList/1,"Commit message analysis:
Although this commit message mentions adding articles, 
it lacks details about what articles have been added."
DefaultData/Commit data/commitMessageReasonList/2,"Commit message analysis:
This message is not clear! 
It doesn't have enough information."
CommitHistoryData/File data/ListContent/0,"Webpage basic framework\aTitle: Three Merging Modes in Git"
CommitHistoryData/File data/ListContent/1,"Font: Times New Roman\nText color: Orange"
CommitHistoryData/File data/ListFileName/0,"My_Homepage.html"
CommitHistoryData/File data/ListFileName/1,"Web_Stylesheet.css"
CommitHistoryData/File data/ListLocation/0,"My_Homepage.html"
CommitHistoryData/File data/ListLocation/1,"Web_Stylesheet.css"
CommitHistoryData/CommitMessage/1,"Initialize the webpage project."
CommitHistoryData/CommitMessage/2,"Add font and color to 'Web_Stylesheet.css'."
AutoMergeData/Quest 7/ListContent/0,"Webpage basic framework\nTitle: Three Merging Modes in Git"
DefaultData/BranchName data/branchNameList/0,"new-article"
DefaultData/BranchName data/branchNameList/1,"new-article-in-my-website"
DefaultData/BranchName data/branchNameList/2,"new article"
DefaultData/BranchName data/branchNameReasonList/0,"Naming branch analysis:
Good: Using lowercase letters and hyphens (-)."
DefaultData/BranchName data/branchNameReasonList/1,"Naming branch analysis:
Good: Using lowercase letters and hyphens (-).
Bad: This branch name is a bit too long."
DefaultData/BranchName data/branchNameReasonList/2,"Naming branch analysis:
Good: Using lowercase letters.
Bad: Using space to divide words."
Quest Filter/Valider/Target File Name/0,"My_Homepage.html"
