StageTitle,"Introduction to Version Control and Git"
Story Background/Content/Story,"You are a student. 
In the 'Project Management' course, 
the teacher introduced what version control and Git are, 
and you noted down this knowledge. 

A few days later, 
to check if the students have truly mastered this knowledge, 
the teacher designed a quiz.

Before the quiz, you have a chance to review the previous learning content.
Now, please review the knowledge in your notes first,
and then launch the quiz program to start answering the questions."
Stage Quest/1,"Answer this question correctly."
Stage Quest/2,"Answer this question correctly."
Stage Quest/3,"Answer this question correctly."
Stage Quest/4,"Answer this question correctly."
Stage Quest/5,"Answer this question correctly."
Stage Quest/6,"Answer this question correctly."
Stage Quest/7,"Answer this question correctly."
DefaultData/File data/ListFileName/1,"Quiz_System.exe"
DefaultData/File data/ListLocation/1,"Quiz_System.exe"
