StageTitle,"Fast-Forward Merging"
Story Background/Content/Story,"You are a student.
Recently, you need to make a 'Tetris' game in the course,
and you have completed the basic features of the game.

There’s extra time before the deadline.
You decide to add a new feature to the game.

You use branch management techniques to assist you in developing.
And you have created interesting game features.

However, you need to merge the content of the development branch into the main branch.
Please try to merge the content of the development branch using Git commands."
Stage Quest/1,"Open the 'Commit History' window."
Stage Quest/2,"Add a new feature on the 'new-feature' branch."
Stage Quest/3,"Create a new commit.
Then update the 'Commit History' window."
Stage Quest/4,"Switch to 'master' branch.
Then update the 'Commit History' window."
Stage Quest/5,"Merge the 'new-feature' branch.
Then update the 'Commit History' window."
Stage Quest/6,"Delete the 'new-feature' branch.
Then update the 'Commit History' window."
CommitHistoryData/File data/ListContent/0,"Game Title Screen"
CommitHistoryData/File data/ListContent/1/v1,"Game start screen\nScoring mechanism (has issues)\nClear Lines logic\nGame over"
CommitHistoryData/File data/ListContent/1/v2,"Game start screen\nScoring mechanism (fixed)\nClear Lines logic\nGame over"
CommitHistoryData/File data/ListContent/1/v3,"Game start screen\nScoring mechanism (fixed)\nClear Lines logic\nGame over\nEnemy attack mechanism\aPlayer usable skills"
CommitHistoryData/File data/ListFileName/0,"Main_Program.c"
CommitHistoryData/File data/ListLocation/0,"Main_Program.c"
CommitHistoryData/CommitMessage/1,"Initialize the Tetris game."
CommitHistoryData/CommitMessage/2,"Complete basic game mechanics."
CommitHistoryData/CommitMessage/3,"Fix scoring mechanic error."
CommitHistoryData/CommitMessage/4,"Add Game Mechanic: Player fight with enemies."
Quest Filter/Valider/Target File Name/0,"Main_Program.c"
DefaultData/Commit data/commitMessageList/0,"Add gameplay: Players can use skills in battles."
DefaultData/Commit data/commitMessageList/1,"Update gameplay."
DefaultData/Commit data/commitMessageList/2,"Add new features in the main program."
DefaultData/Commit data/commitMessageReasonList/0,"Commit message analysis:
This message mentions adding skills to the game, 
providing a clear understanding that the skill system has been successfully developed."
DefaultData/Commit data/commitMessageReasonList/1,"Commit message analysis:
Although this message mentions updating gameplay, 
it does not provide any details about the gameplay changes."
DefaultData/Commit data/commitMessageReasonList/2,"Commit message analysis:
Although this message mentions updating the main program, 
it does not provide details of the changes."
