StageTitle,"Game Introduction"
Story Background/Content/Story,"You're a student.
This semester, one class requires students to prepare a presentation in the midterm week.

You spend a lot of time to prepare slides related to the course.
However, students need to control time during the presentation.
So you have to simplify the content of your report.

While making changes to the report, you want to ensure that the deleted contents can be recovered.
Thus, you decide to manage the presentation by 'backing up files'.
Please try to complete the midterm report by this method."
Stage Quest/1,"Open the 'File Manager' window."
Stage Quest/2,"Backup the file 'MidtermReport_v1.ppt'."
Stage Quest/3,"Rename the file after backup."
Stage Quest/4,"Simplify the content of the latest version file."
Stage Quest/5,"Backup the file 'MidtermReport_v2.ppt'."
Stage Quest/6,"Rename the file after backup."
Stage Quest/7,"Modify the content of the latest version file."
DefaultData/File data/ListContent/1,"Report Title: Project Management Methods\nIntroduction to Backup Files\nHow to Manage Projects through Backup Files <color=#CF001C>(to be deleted)</color>\nIntroduction to Git\nComparison of two methods <color=#CF001C>(to be modified)</color>\mComparison of two methods using Tables and Examples (modified)"
DefaultData/File data/ListFileName/1,"MidtermReport_v1.ppt"
DefaultData/File data/ListLocation/1,"MidtermReport_v1.ppt"
Quest Filter/Valider/Target File Name/v2,"MidtermReport_v2.ppt"
Quest Filter/Valider/Target File Name/v3,"MidtermReport_v3.ppt"
