StageTitle,"Fast-Forward Merging"
Story Background/Content/Story,"You are a newly joined member of a game development team, 
now responsible for character design.
The team wants you to add an attack detection script to the character's behaviors.

To follow proper development principles, 
developers should implement features on their own branches.
Try to create a new branch and start developing the content on it!"
Stage Quest/1,"Open the 'Commit History' window"
Stage Quest/2,"Create a branch on the 'master' branch
and update the 'Commit History' window"
Stage Quest/3,"Add character attack behavior detection
on the development branch"
Stage Quest/4,"Create a new commit
and update the 'Commit History' window"
Stage Quest/5,"Switch to the 'master' branch
and update the 'Commit History' window"
Stage Quest/6,"Merge the 'new-character-action' branch
and update the 'Commit History' window"
Stage Quest/7,"Delete the 'new-character-action' branch
and update the 'Commit History' window"
CommitHistoryData/File data/ListFileName/0,"Character_Project"
CommitHistoryData/File data/ListLocation/0,"Character_Project"
CommitHistoryData/File data/ListContent/1,"Sprite Title\nSprite Content"
CommitHistoryData/File data/ListFileName/1,"Character_Sprite.png"
CommitHistoryData/File data/ListLocation/1,"Character_Project\Character_Sprite.png"
CommitHistoryData/File data/ListFileName/2,"Character_Lore.txt"
CommitHistoryData/File data/ListContent/2,"Character Name\nStory Background\nPersonality"
CommitHistoryData/File data/ListLocation/2,"Character_Project\Character_Lore.txt"
CommitHistoryData/File data/ListFileName/3,"Character_Behavior.cs"
CommitHistoryData/File data/ListContent/3,"Walk Detection\nDialogue Detection\aAttack Detection"
CommitHistoryData/File data/ListLocation/3,"Character_Project\Character_Behavior.cs"
CommitHistoryData/File data/ListLocation/4,"Character_Project\.git"
CommitHistoryData/CommitMessage/1,"Initialize character project"
CommitHistoryData/CommitMessage/2,"Design character visual assets"
CommitHistoryData/CommitMessage/3,"Design character backstory and lore"
CommitHistoryData/CommitMessage/4,"Design basic character behaviors"
Quest Filter/Valider/Target File Name/0,"Character_Behavior.cs"
DefaultData/Commit data/commitMessageList/0,"Add character behavior: character can perform attack detection"
DefaultData/Commit data/commitMessageList/1,"add new code"
DefaultData/Commit data/commitMessageList/2,"add new commit"
DefaultData/Commit data/commitMessageReasonList/0,"Commit Message Analysis:
The commit message is clear and specific, helping developers understand the purpose of this commit."
DefaultData/Commit data/commitMessageReasonList/1,"Commit Message Analysis:
The commit message is not specific enough."
DefaultData/Commit data/commitMessageReasonList/2,"Commit Message Analysis:
The commit message is not specific enough."
DefaultData/BranchName data/branchNameList/0,"new-character-action"
DefaultData/BranchName data/branchNameList/1,"character"
DefaultData/BranchName data/branchNameList/2,"角色新動作"
DefaultData/BranchName data/branchNameReasonList/0,"Branch Naming Analysis:
Appropriate: Uses lowercase letters and differentiates words using the '-' symbol."
DefaultData/BranchName data/branchNameReasonList/1,"Branch Naming Analysis:
Appropriate: Uses lowercase letters.
Inappropriate: Too generic; might cause confusion for other developers."
DefaultData/BranchName data/branchNameReasonList/2,"Branch Naming Analysis:
Inappropriate: Uses Chinese characters to name the branch."
NPCCommitData/NPC1,"Colleague  A"
NPCCommitData/NPC2,"Colleague  B"
NPCCommitData/NPC3,"Colleague  C"
