StageSelect/Common/StageTitle,"Stage: "
StageCategoryButton/Basic/CategoryText,"Theme Stage: Git Basics"
StageCategoryButton/Branch/CategoryText,"Theme Stage: Branch Management"
StageCategoryButton/Remote/CategoryText,"Theme Stage: Remote Management"
StageCategoryButton/Common/StageCompletionText,"Stage Completion: "
PlayerGameRecordsWindow/Title,"Game Records"
PlayerGameRecordsWindow/PlayerTitle,"Git Learner Data"
PlayerGameRecordsWindow/PlayerContentTitle,"Learner Name: "
PlayerGameRecordsWindow/MainRecordsTitle,"Game Progress"
PlayerGameRecordsWindow/MainRecordsContent/GameProgress,"Game Completion"
PlayerGameRecordsWindow/MainRecordsContent/TotalScore,"Total Game Score"
PlayerGameRecordsWindow/MainRecordsContent/TotalTime,"Total Play Time"
PlayerGameRecordsWindow/MainRecordsContent/TotalStar,"Total Stars Earned"
PlayerGameRecordsWindow/OtherRecordsTitle,"Other Records"
PlayerGameRecordsWindow/OtherRecordsContent/ClearStageTimes,"Clear Stage Times"
PlayerGameRecordsWindow/OtherRecordsContent/GameManualUsedTimes,"Game Manual Used Times"
PlayerGameRecordsWindow/OtherRecordsContent/CommandExecutedTimes,"Command Executed Times"
PlayerGameRecordsWindow/OtherRecordsContent/Perfect,"Objective Completed Times (Perfect)"
PlayerGameRecordsWindow/OtherRecordsContent/Good,"Objective Completed Times (Good)"
PlayerGameRecordsWindow/OtherRecordsContent/Hint,"Objective Completed Times (Hint)"
PlayerGameRecordsWindow/OtherRecordsContent/Answer,"Objective Completed Times (Answer)"
TooltipMessage/MainToolBar/PlayerGameRecordsButton,"Player Game Records"
TooltipMessage/MainToolBar/ReturnToTitleScreenButton,"Return to Title Screen"
TooltipMessage/MainToolBar/BackToStageCategoryButton,"Back"
StageItemButton/DetailedPopup/Game Introduction,"Game Introduction"
StageItemButton/DetailedPopup/Version Control and Git,"Introduction to Version Control and Git"
StageItemButton/DetailedPopup/Create Local Repository,"Creating Your First Local Repository"
StageItemButton/DetailedPopup/Basic Staging Area,"Basic Operations in Git Staging Area"
StageItemButton/DetailedPopup/Advanced Staging Area,"Advanced Operations in Git Staging Area"
StageItemButton/DetailedPopup/Creating First Version,"Creating Your First Git Project Version"
StageItemButton/DetailedPopup/Switching Project Versions,"Switching Project Versions"
StageItemButton/DetailedPopup/Git Branching Basics,"Git Branching Basics Tutorial"
StageItemButton/DetailedPopup/Fast-Forward Merging,"Fast-Forward Merging"
StageItemButton/DetailedPopup/Auto Merging,"Auto Merging"
StageItemButton/DetailedPopup/Merge Conflicts,"Resolving Merge Conflicts"
StageItemButton/DetailedPopup/Create Remote Repository,"Creating Your First Remote Repository"
StageItemButton/DetailedPopup/Push to Remote Branches,"Creating and Pushing Remote Branches"
StageItemButton/DetailedPopup/Keep Branches in Sync,"Keeping Branches in Sync"
StageItemButton/DetailedPopup/Preparation for Merging,"Preparation for Merging"
StageItemButton/DetailedPopup/Creating a Pull Request,"Creating a Pull Request"
StageItemButton/DetailedPopup/Review and Merge Pull Requests,"Reviewing and Merging Pull Requests"
