StageTitle,"Creating a Pull Request"
Story Background/Content/Story,"You are a student in the latter half of the 'Project Management' course. 
The teacher has asked students to form groups and develop an application on a Git service platform.

You and your team members decided to develop a 'Snake Game' project.
The team will apply version control practices to boost development efficiency.

Your responsible task is to write the 'README' file.
You have already completed writing the 'README' file on the 'update-readme' branch.

To ensure that no merge conflicts occur during the Pull Request process later,
you completed the 'Preparation for Merging' workflow on your local computer.

Now, your mission is to create a Pull Request for your development branch.
Please try to merge the 'update-readme' branch into the remote main branch,
and discuss it with your team members to ensure the changes are appropriate."
Stage Quest/1,"Open the 'Commit History' window"
Stage Quest/2,"Open the 'Web Browser' window"
Stage Quest/3,"Create a new Pull Request"
Stage Quest/4,"Add reviewers"
Stage Quest/5,"Reply to the reviewer's message"
Stage Quest/6,"Modify file content based on suggestions"
Stage Quest/7,"Create a new commit 
and update the 'Commit History' window"
Stage Quest/8,"Push the 'update-readme' branch to the remote repository
and update the 'Commit History' window"
Stage Quest/9,"Mark the Pull Request conversation as resolved"
Stage Quest/10,"Synchronize the content of the remote 'master' branch
and update the 'Commit History' window"
Stage Quest/11,"Delete the 'update-readme' branch from both the local and remote repositories
and update the 'Commit History' window"
DefaultData/Commit data/commitMessageList/0,"Add more detailed descriptions for the 'Multiple object spawning' section"
DefaultData/Commit data/commitMessageList/1,"Modify README content"
DefaultData/Commit data/commitMessageList/2,"Fix issues occurring in the merge request"
DefaultData/Commit data/commitMessageReasonList/0,"Commit Message Analysis:
Clearly indicates the specific details of the modified commit."
DefaultData/Commit data/commitMessageReasonList/1,"Commit Message Analysis:
Although the README content was indeed modified, it is not specific enough."
DefaultData/Commit data/commitMessageReasonList/2,"Commit Message Analysis:
Fails to indicate which modification suggestion this commit fixes.
Furthermore, it fails to indicate the file details of the modified commit."
CommitHistoryData/File data/ListContent/1,"# snake-game"
CommitHistoryData/File data/ListContent/2v1,"Game execution logic\nScore system\nFruit object management"
CommitHistoryData/File data/ListContent/2v2,"Game execution logic\nScore system\nFruit object management\nBomb object management"
CommitHistoryData/File data/ListContent/2v3,"Game execution logic\nScore system\nFruit object management\nBomb object management\nPlayer sprint system\nEnergy bar system"
CommitHistoryData/File data/ListContent/1v2,"# snake-game\nThis is an improved version of the Snake Game.\nMultiple objects will appear in the game. Eating fruits will grant points, and the game ends if the player is blown up by a bomb."
CommitHistoryData/File data/ListContent/1v3,"# snake-game\nThis is an improved version of the Snake Game.\nMultiple objects will appear in the game. Eating fruits will grant points, and the game ends if the player is blown up by a bomb.\nGame Features:\n<b>· </b>Multiple objects appear within a period of time\n<b>· </b>Bombs will explode after a period of time, and the game ends if the player is within the explosion radius\n<b>· </b>The game features an energy bar, allowing players to sprint"
CommitHistoryData/File data/ListContent/1v4,"# snake-game\nThis is an improved version of the Snake Game.\nMultiple objects will appear in the game. Eating fruits will grant points, and the game ends if the player is blown up by a bomb.\nGame Features:\n<b>· </b>Multiple objects appear within a period of time<color=#FFE6C6>(to be modified)</color>\m<b>· </b>Random amounts of fruits and bombs will spawn every 5 seconds, and their spawn locations are also random. (modified)\n<b>· </b>Bombs will explode after a period of time, and the game ends if the player is within the explosion radius\n<b>· </b>The game features an energy bar, allowing players to sprint"
CommitHistoryData/File data/ListLocation/0,"snake-game"
CommitHistoryData/File data/ListLocation/1,"snake-game\README.md"
CommitHistoryData/File data/ListLocation/2,"snake-game\Main_Script.cpp"
CommitHistoryData/File data/ListLocation/3,"snake-game\.git"
CommitHistoryData/File data/ListFileName/0,"snake-game"
CommitHistoryData/File data/ListFileName/1,"README.md"
CommitHistoryData/File data/ListFileName/2,"Main_Script.cpp"
NPCCommitData/NPC1,"Classmate A"
CommitHistoryData/CommitMessage/1,"Add README file"
CommitHistoryData/CommitMessage/2,"Basic Snake Game completed"
CommitHistoryData/CommitMessage/5,"Snake Game introduction"
CommitHistoryData/CommitMessage/6,"Snake Game features introduction"
CommitHistoryData/CommitMessage/3,"Bomb feature design completed"
CommitHistoryData/CommitMessage/4,"Player sprint allowed and energy bar system added"
CommitHistoryData/CommitMessage/7,"Branch 'master' has been merged into branch 'update-readme'"
RepoQuestData/Repo Quest/PRTitle,"Add README content: Snake Game introduction and features"
RepoQuestData/Repo Quest/PRDes,"This Pull Request contains the changes I made on the 'update-readme' branch.
It is mainly used to update the README file, 
where I have added the basic introduction and game features of the Snake Game."
BrowserWindow/PRDetailed/Msg_5_Refresh_FileChanged/MainContent,"Hello, I noticed that some improvements can be made to the game feature 'Multiple object spawning' in the 'README.md' file.
To help readers better understand the gameplay and challenges, 
I suggest adding more details regarding object spawning, such as spawn times and randomization features.
Thank you."
BrowserWindow/PRDetailed/Msg_5_Refresh_FileChanged/FileName,"README.md"
BrowserWindow/PRDetailed/FileContent1,"# snake-game"
BrowserWindow/PRDetailed/FileContent2,"This is an improved version of the Snake Game."
BrowserWindow/PRDetailed/FileContent3,"Multiple objects will appear in the game. Eating fruits will grant points, and the game ends if the player is blown up by a bomb."
BrowserWindow/PRDetailed/FileContent4,"Game Features:"
BrowserWindow/PRDetailed/FileContent5,"<b>· </b>Multiple objects appear within a period of time"
BrowserWindow/PRDetailed/FileContent5(fixed),"<b>· </b>Random amounts of fruits and bombs will spawn every 5 seconds, and their spawn locations are also random."
BrowserWindow/PRDetailed/FileContent6,"<b>· </b>Bombs will explode after a period of time, and the game ends if the player is within the explosion radius"
BrowserWindow/PRDetailed/FileContent7,"<b>· </b>The game features an energy bar, allowing players to sprint"
BrowserWindow/PRDetailed/Msg_5_Refresh_FileChanged/ReplyMessage1,"Please add spawning details to the line regarding 'Multiple object spawning'."
BrowserWindow/PRDetailed/Msg_5_Refresh_FileChanged/ReplyMessage2,"Thank you for the suggestion.
I will review it and make the corresponding modifications."
BrowserWindow/PRDetailed/Msg_5_Refresh_FileChanged/ReplyMessage3,"I have provided a more detailed description for the 'Multiple object spawning' section.
Please let me know if there are any other areas that need improvement.
Thank you."
BrowserWindow/PRDetailed/Msg_10_Refresh_Approve,"Reviewed and confirmed that the 'README.md' content has no issues.
Approving this merge request."
