StageTitle,"Preparation for Merging"
Story Background/Content/Story,"You are a student in the latter half of the 'Project Management' course.
The teacher has asked students to form groups and develop an application on a Git service platform.

You and your team members decided to develop a 'Snake Game' project.
The team will apply version control practices to boost development efficiency.

Your responsible task is to write the 'README' file.
Recently, you completed writing the 'README' file on the 'update-readme' branch.

Now, to ensure that no merge conflicts occur during the Pull Request process later,
you need to perform a 'Preparation for Merging' workflow on your local computer."
Stage Quest/1,"Open the 'Commit History' window"
Stage Quest/2,"Synchronize the content of the remote 'master' branch
and update the 'Commit History' window"
Stage Quest/3,"Synchronize the content of the remote 'update-readme' branch
and update the 'Commit History' window"
Stage Quest/4,"Merge the 'master' branch into the 'update-readme' branch
and update the 'Commit History' window"
Stage Quest/5,"Verify that the merged project runs normally"
Stage Quest/6,"Push the 'update-readme' branch to the remote repository
and update the 'Commit History' window"
CommitHistoryData/File data/ListContent/1,"# snake-game"
CommitHistoryData/File data/ListContent/2v1,"Game execution logic\nScore system\nFruit object management"
CommitHistoryData/File data/ListContent/2v2,"Game execution logic\nScore system\nFruit object management\nBomb object management"
CommitHistoryData/File data/ListContent/2v3,"Game execution logic\nScore system\nFruit object management\nBomb object management\nPlayer sprint system\nEnergy bar system"
CommitHistoryData/File data/ListContent/1v2,"# snake-game\nThis is an improved version of the Snake Game.\nMultiple objects will appear in the game. Eating fruits will grant points, and the game ends if the player is blown up by a bomb."
CommitHistoryData/File data/ListContent/1v3,"# snake-game\nThis is an improved version of the Snake Game.\nMultiple objects will appear in the game. Eating fruits will grant points, and the game ends if the player is blown up by a bomb.\nGame Features:\n<b>· </b>Multiple objects appear within a period of time\n<b>· </b>Bombs will explode after a period of time, and the game ends if the player is within the explosion radius\n<b>· </b>The game features an energy bar, allowing players to sprint"
CommitHistoryData/File data/ListLocation/0,"snake-game"
CommitHistoryData/File data/ListLocation/1,"snake-game\README.md"
CommitHistoryData/File data/ListLocation/2,"snake-game\Main_Script.cpp"
CommitHistoryData/File data/ListLocation/3,"snake-game\.git"
CommitHistoryData/File data/ListFileName/0,"snake-game"
CommitHistoryData/File data/ListFileName/1,"README.md"
CommitHistoryData/File data/ListFileName/2,"Main_Script.cpp"
NPCCommitData/NPC1,"Classmate A"
CommitHistoryData/CommitMessage/1,"Add README file"
CommitHistoryData/CommitMessage/2,"Basic Snake Game completed"
CommitHistoryData/CommitMessage/5,"Snake Game introduction"
CommitHistoryData/CommitMessage/6,"nake Game features introduction"
CommitHistoryData/CommitMessage/3,"Bomb feature design completed"
CommitHistoryData/CommitMessage/4,"Player sprint allowed and energy bar system added"
Quest Valider/Valider/0,"Main_Script.cpp"
