StageTitle,"Keeping Branches in Sync"
Story Background/Content/Story,"You are a student.
In the 'Project Management' course,
the teacher required students to team up and develop a website together.

You and your team members are managing the project with Git,
but recently encountered two issues during development.
They affected the development progress.

Issue One:
You often develop the project on two different computers.
However, you recently discovered that the 'commit history'
on Computer A is behind the version of Computer B.
The modifications from Computer B have already been uploaded to the remote repository.
To continue developing from Computer B's content,
you need to synchronize the content from the remote repository to Computer A first.

Issue Two:
During development, one of your teammates contacted you.
He hopes you can help him solve a problem that encountered during development.
To improve development efficiency,
you decide to get his remote branch and find a solution to the problem.

Facing these two issues,
how would you use your learned Git skills to solve them?"
Stage Quest/1,"Open the 'Commit History' window."
Stage Quest/2,"Switch to the 'update-readme' branch and synchronize content from the remote branch"
Stage Quest/3,"Update the 'Commit History' window."
Stage Quest/4,"View all branches in the remote repository."
Stage Quest/5,"Fetch the remote 'member-branch' into the local repository.
Then update the 'Commit History' window."
CommitHistoryData/File data/ListContent/1/v1,"# Shopping Website Project"
CommitHistoryData/File data/ListContent/1/v2,"# Shopping Website Project\nReason for creating the website."
CommitHistoryData/File data/ListLocation/0,"shopping-website"
CommitHistoryData/File data/ListLocation/1,"shopping-website\README.md"
CommitHistoryData/File data/ListLocation/2,"shopping-website\.git"
CommitHistoryData/File data/ListFileName/0,"shopping-website"
CommitHistoryData/File data/ListFileName/1,"README.md"
CommitHistoryData/CommitMessage/1,"Added README file,"
CommitHistoryData/CommitMessage/2,"Added README content: Reason for creating the website."
NPCCommitData/Player1/ListContent/1,"# Shopping Website Project\nReason for creating the website\nWebsite operation instructions"
NPCCommitData/NPC1/ListContent/1,"# Shopping Website Project\nWeb system architecture\nWebsite screenshots"
NPCCommitData/NPC1,"Team Member A"
NPCCommitData/CommitMessage/Player1,"Added README content: Operation instructions"
NPCCommitData/CommitMessage/NPC1,"Added README content: Web system structure and screenshots."
