TooltipMessage/GameManualButton/Unlock,Game Manual
TooltipMessage/GameManualButton/Lock,Lock Window: Game Manual
TooltipMessage/GameManualItem/content/commandDetail/Lock,The next command is not unlocked
GameManualItem/list/IntroGitCommand,Introduction to Git commands
GameManualItem/list/git,git
GameManualItem/list/git init,git init
GameManualItem/list/git status,git status
GameManualItem/list/git add,git add
GameManualItem/list/git reset,git reset
GameManualItem/list/git commit,git commit
GameManualItem/list/git log,git log
GameManualItem/list/git checkout,git checkout
GameManualItem/list/git branch,git branch
GameManualItem/list/git merge,git merge
GameManualItem/list/git clone,git clone
GameManualItem/list/git remote,git remote
GameManualItem/list/git push,git push
GameManualItem/list/git pull,git pull
GameManualItem/list/IntroGame,Gameplay and Objectives
GameManualItem/list/IntroGameScore,Introduction to Game Score
GameManualItem/list/IntroGetPerfect,How to Complete Objectives Perfectly
GameManualItem/list/IntroAssistance,Assistance Features
GameManualItem/list/IntroGameManual,Window Introduction: Game Manual
GameManualItem/list/IntroFileManager,Window Introduction: File Manager
GameManualItem/list/IntroFileContent,Window Introduction: File Content
GameManualItem/list/IntroResultsScreen,Window Introduction: Results Screen
GameManualItem/list/IntroCommandLine,Window Introduction: Command Line
GameManualItem/list/IntroStagingArea,Window Introduction: Staging Area
GameManualItem/list/IntroCommitHistory,Window Introduction: Commit History
GameManualItem/list/IssuesBackupFile,Issues with the Backup File method
GameManualItem/list/VersionControlAndGit,Version Control and Git
GameManualItem/list/.gitAndGitCoreAreas,.git and Git's Core Areas
GameManualItem/list/ProcessCreateCommit,Process of Creating a Commit
GameManualItem/list/RuleNameBranch,Principles of Naming Branches
GameManualItem/list/RuleCommitMessage,Principles of Commit Messages
GameManualItem/list/DetachedHEAD,Detached HEAD
GameManualItem/list/gitMergeModes,Merge Modes in git merge
GameManualItem/list/ResolveMergeConflict,Resolving Merge Conflicts
GameManualItem/list/CheckBeforeMergeMainBrach,Preparation Before Merging into the Main Remote Branch
GameManualWindow/content/DefaultContent,"Click the item on the left list
to view tutorial content"
GameManualItem/content/common/windowTitle,Window Introduction
GameManualItem/content/common/knowledgeTitle,Knowledge Introduction
GameManualItem/content/common/errorMsgTitle,Error message popup
GameManualItem/content/common/commandTitle,Introduction to command type
GameManualItem/content/common/commandDetailedTitle,Command format
GameManualItem/content/common/command/use,Purpose
GameManualItem/content/common/command/scenario,Scenarios
GameManualItem/content/common/command/example,Example
GameManualItem/content/common/command/hint,Points to note about the command
GameManualItem/content/common/tipTitle,Tip:
GameManualWindow/Title,Game Manual
GameManualWindow/CategoryButton/Command,Commands
GameManualWindow/CategoryButton/RuleAndWindow,Rule and Window
GameManualWindow/CategoryButton/VersionControl,Version Control
GameManualWindow/ListTitle/Command,Git Command List
GameManualWindow/ListTitle/RuleAndWindow,Game Rules and Window List
GameManualWindow/ListTitle/VersionControl,Version Control List
GameManualItem/content/git/1,"<color=#CF001C>git</color> is one of the most basic command types in Git.

When executing Git commands, you need to add <color=#CF001C>git</color> in the first command field,
and then add other command types (e.g., init, add) in the second field.

For the <color=#CF001C>git</color> command type, you can execute it with just one field of command.
It can also add other parameters in front of the command to perform different operations.

Typically, the <color=#CF001C>git</color> command can be used in the following scenarios:
1. To check the current version of the Git on your computer.
2. To understand the available Git commands and the purpose of each command."
GameManualItem/content/git/commandDetail/1,git <color=#CF001C>-h or --help</color>
GameManualItem/content/git/commandDetail/1/use,"To understand a brief explanation of all available Git commands.
In addition to executing this command,
you can also get more detailed from the official Git website."
GameManualItem/content/git/commandDetail/1/scenario,"1. When needing to review content you learned before.
2. When looking up the usage method for a specific command."
GameManualItem/content/git/commandDetail/1/example,"When User A encounters a problem using Git, 
execute the following command for help:"
GameManualItem/content/git/commandDetail/1/exampleBox,git <color=#CF001C>--help</color>
GameManualItem/content/git/commandDetail/1/hint,"In this game, detailed explanations of each command are included in the game manual.
If you want to learn more about a specific command,
please click the game manual button or execute this command to open the manual."
GameManualItem/content/git/commandDetail/2,git <color=#CF001C>-v or --version</color>
GameManualItem/content/git/commandDetail/2/use,"To check the current version of the Git system used on your computer, 
and confirm whether the system has been installed."
GameManualItem/content/git/commandDetail/2/scenario,"1. Before starting to use Git to manage a project.
2. When needing to confirm whether the Git system is installed on the computer."
GameManualItem/content/git/commandDetail/2/example,"When User A wants to use Git to manage a project,
execute the following command to confirm whether Git is installed:"
GameManualItem/content/git/commandDetail/2/exampleBox,git <color=#CF001C>--version</color>
GameManualItem/content/git/commandDetail/2/hint,"There are no special things to notice, only need to follow the basic Git command input rules.
please refer to the 'Introduction to Git commands' in the game manual."
GameManualItem/content/git init/1,"<color=#CF001C>git init</color> is one of the most basic command types in Git.

When you want to start using Git to manage your project,
<color=#CF001C>git init</color> will be the first command you need to execute.

Execution successfully, a hidden folder named <color=#CF001C>.git</color> will be created in the file path you specify.
This folder is the core of the Git management system, storing the records of the project.
Without this folder, most Git commands will not work."
GameManualItem/content/git init/commandDetail/1,git init
GameManualItem/content/git init/commandDetail/1/use,To create a <color=#CF001C>.git</color> hidden folder in the path where the command line is located.
GameManualItem/content/git init/commandDetail/1/scenario,1. When you want to start using Git to manage a project.
GameManualItem/content/git init/commandDetail/1/example,"When User A is preparing to use Git to manage a project,
after selecting the project path to manage, execute the following command:"
GameManualItem/content/git init/commandDetail/1/exampleBox,git init
GameManualItem/content/git init/commandDetail/1/hint,"<b>1. Ensure the correct path when executing the command:</b>
     When you execute <color=#CF001C>git init</color>,
     Git will create a <color=#CF001C>.git</color> folder in the path where the command line is located.

     Make sure this path matches the project you want to manage,
     to avoid unnecessary confusion and trouble."
GameManualItem/content/git status/1,"<color=#CF001C>git status</color> is a command type related to the 'Staging Area'.

With this command,
you can check the current status of the 'Staging Area' in the Git management system.
This helps you understand which files have been staged, which have been modified,
and whether they are ready to be committed."
GameManualItem/content/git status/1/tip,"Use Git in the real scenario, the command execute result will show in the command line window.
In this game, the output is moved into the 'Staging Area' window.
It makes it easier to view the content, and the window's design is similar to the actual output."
GameManualItem/content/git status/commandDetail/1,git status
GameManualItem/content/git status/commandDetail/1/use,Open the 'Staging Area' window and display the current state of the 'Staging Area'.
GameManualItem/content/git status/commandDetail/1/scenario,"1. When you need to check the current status of the 'Staging Area'.
2. After pushing or removing files to the 'Staging Area'.
3. Confirm the staged files and their status before creating a new commit."
GameManualItem/content/git status/commandDetail/1/example,"When User A pushes or removes modified files from the 'Staging Area',
execute the following command to view the status of the files in the area:"
GameManualItem/content/git status/commandDetail/1/exampleBox,git status
GameManualItem/content/git status/commandDetail/1/hint,"<b>1. Cannot update content immediately:</b>
     After executing commands that interact with the 'Staging Area'
     (e.g., git add, git reset, etc.).
     Although the status of the files has changed, can't see the update in the window right away.

     Therefore, after executing these commands,
     please execute the <color=#CF001C>git status</color> command again to view the latest status."
GameManualItem/content/git add/1,"<color=#CF001C>git add</color> is a command type related to the 'Staging Area'.
With this command, files are added content from the working directory to the 'Staging Area'.

After successfully adding files to the 'Staging Area', these files will be marked as 'staged'.
They will be included in the next 'commit' (version record)."
GameManualItem/content/git add/commandDetail/1,git add <color=#CF001C>file_name</color>
GameManualItem/content/git add/commandDetail/1/use,Add specific files to the 'staged' list.
GameManualItem/content/git add/commandDetail/1/scenario,1. When you want to save changes to a specific file as a record.
GameManualItem/content/git add/commandDetail/1/example,"When User A has completed modifications to 'Article_A.txt',
execute the following command to add the file to the 'Staging Area':"
GameManualItem/content/git add/commandDetail/1/exampleBox,git add <color=#CF001C>Article_A.txt</color>
